MB_16S_ID,MG_ID,MB_18S_ID,Date,Station,SAMPLE_TYPE,Cast,Sample_type,Julian_Day,LAT,LON,DEPTH
TYFM3202WDNA,,,45971,FM3SUP,Water,,DNA,2025314,43.73955,10.207933,0.5
TYFM1202WDNA,,,45971,FM12SUP,Water,,DNA,2025314,43.739833,10.001117,0.5
TYCS02WDNA,,,45973,CSSUP,Water,,DNA,2025316,43.187783,10.529717,0.5
TYDN302WDNA,,,45973,DN3SUP,Water,,DNA,2025316,43.172917,10.4691,0.5
TYDN1202WDNA,,,45973,DN12MNSUP,Water,,DNA,2025316,43.172917,10.263233,0.5
TYPA02WDNA,,,45978,PA,Water,,DNA,2025321,42.821717,10.74385,0.5
TYCR302WDNA,,,45978,CR3SUP,Water,,DNA,2025321,42.901017,10.65755,0.5
TYCR1202WDNA,,,45978,CR12SUP,Water,,DNA,2025321,42.776483,10.546867,0.5
TYFO02WDNA,,,45980,FOSUP,Water,,DNA,2025323,42.6525,11.005,0.5
TYCL302WDNA,,,45980,CL3SUP,Water,,DNA,2025323,42.606133,11.008933,0.5
TYCL1202WDNA,,,45980,CL12SUP,Water,,DNA,2025323,42.504883,10.85825,0.5
TYPISSDNA,TYPISSDNA,,45965,MAR_PIS_S001,Sediment,,DNA,2025308,43.6812,10.25865,11
TYLIVSDNA,,,45965,MAR_LIV_S002,Sediment,,DNA,2025308,43.545133,10.274067,15.5
TYROSSDNA,,,45972,MAR_ROS_S001,Sediment,,DNA,2025315,43.39,10.404167,24
TYCECSDNA,,,45972,MAR_CEC_S001,Sediment,,DNA,2025315,43.27415,10.455333,20
TYPMBSDNA,,,45974,MAR_PMB_S001,Sediment,,DNA,2025317,42.895533,10.600317,30
TYFOLSDNA,,,45974,MAR_FOL_S001,Sediment,,DNA,2025317,42.82985,10.6466,43
TYOMBSDNA,,,45979,MAR_OMB_S001,Sediment,,DNA,2025322,42.6364,10.977567,40
TYALBSDNA,,,45979,MAR_ALB_S001,Sediment,,DNA,2025322,42.4854,11.136917,33
BPCR5,,BPCR5,NA,Lab,Control,,DNA,NA,NA,NA,NA
BPCR6,,,NA,Lab,Control,,DNA,NA,NA,NA,NA
BLANK,,,NA,Lab,Control,,DNA,NA,NA,NA,NA
